power_of_shot,game_season,is_goal,area_of_shot,shot_basics,combined_shot,distance_of_shot,location,knockout_match,remaining_total,latitude,longitude,shot_id_number
1.0,2000-01,,5,4,24,38.0,181.8598361376145,0.0,627.0,45.539131,-122.651648,1.0
1.0,2000-01,0.0,2,4,40,35.0,157.0,0.0,622.0,45.539131,-122.651648,2.0
1.0,2000-01,1.0,1,4,18,36.0,168.6001186239203,0.0,465.0,45.539131,-122.651648,3.0
1.0,2000-01,0.0,4,4,23,42.0,222.86543024883872,0.0,412.0,45.539131,-122.651648,4.0
2.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,19.0,45.539131,-122.651648,5.0
3.0,2009-10,0.0,2,4,9,34.0,145.41664278891878,0.0,572.0,45.539131,-122.651648,6.0
3.0,2000-01,1.0,0,0,34,20.0,0.0,0.0,532.0,45.539131,-122.651648,7.0
3.0,2000-01,,0,0,23,22.0,28.0178514522438,0.0,485.0,45.539131,-122.651648,8.0
3.0,2000-01,1.0,2,1,30,32.0,123.90565797650775,0.0,372.0,45.539131,-122.651648,9.0
3.0,2000-01,0.0,0,1,39,32.0,123.90565797650775,0.0,216.0,45.539131,-122.651648,10.0
3.0,2000-01,0.0,1,5,54,45.0,255.8906016249913,0.0,116.0,45.539131,-122.651648,
1.0,2000-01,1.0,4,4,23,37.0,175.41379649275024,0.0,660.0,42.982923,-71.44609399999999,12.0
1.0,2009-10,1.0,2,1,39,35.0,154.29990014165554,0.0,429.0,42.982923,-71.44609399999999,13.0
1.0,2000-01,0.0,2,4,23,29.0,94.08506789071258,0.0,164.0,42.982923,-71.44609399999999,14.0
1.0,2000-01,0.0,0,1,4,25.0,52.32590180780453,0.0,76.0,42.982923,-71.44609399999999,15.0
1.0,2000-01,0.0,0,4,23,40.0,204.9569704169019,0.0,0.0,42.982923,-71.44609399999999,16.0
1.0,2000-01,,0,0,34,20.0,0.0,0.0,1.0,42.982923,-71.44609399999999,
2.0,2000-01,1.0,1,4,53,45.0,254.48968544913564,0.0,530.0,42.982923,-71.44609399999999,18.0
3.0,2000-01,0.0,1,4,23,36.0,164.43131419670482,0.0,689.0,42.982923,-71.44609399999999,19.0
3.0,2009-10,,0,4,34,20.0,0.0,0.0,646.0,42.982923,-71.44609399999999,20.0
3.0,2000-01,0.0,0,4,13,34.0,144.03124660989366,0.0,608.0,42.982923,-71.44609399999999,21.0
3.0,2009-10,,4,4,17,38.0,184.62123388169638,0.0,544.0,42.982923,-71.44609399999999,22.0
3.0,2000-01,1.0,0,1,39,31.0,111.157545852722,0.0,477.0,42.982923,-71.44609399999999,23.0
3.0,2009-10,1.0,1,4,23,38.0,185.42114226808116,0.0,347.0,42.982923,-71.44609399999999,24.0
3.0,2000-01,1.0,0,1,23,27.0,78.00640999302556,0.0,311.0,42.982923,-71.44609399999999,25.0
3.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,156.0,42.982923,-71.44609399999999,26.0
3.0,2000-01,0.0,0,4,24,40.0,204.9569704169019,0.0,124.0,42.982923,-71.44609399999999,27.0
3.0,2000-01,0.0,1,5,50,46.0,260.93102536877444,0.0,30.0,42.982923,-71.44609399999999,28.0
4.0,2000-01,0.0,4,4,23,39.0,192.753728887407,0.0,499.0,42.982923,-71.44609399999999,29.0
4.0,2000-01,0.0,0,1,37,28.0,87.05170877128145,0.0,382.0,42.982923,-71.44609399999999,30.0
4.0,2000-01,1.0,5,4,39,20.164963219842978,121.06609764917677,0.0,80.0,42.982923,-71.44609399999999,31.0
4.0,2009-10,0.0,5,4,23,33.0,131.47243057006287,0.0,30.0,42.982923,-71.44609399999999,32.0
1.0,2000-01,,5,4,28,37.0,179.8471573308847,0.0,686.0,49.250068,-123.114646,33.0
1.0,2000-01,,4,4,23,40.0,206.24257562394826,0.0,658.0,49.250068,-123.114646,
1.0,2000-01,,0,0,33,21.0,19.02629759044045,0.0,453.0,49.250068,-123.114646,35.0
1.0,2000-01,,0,0,33,21.0,12.460103370965935,0.0,358.0,49.250068,-123.114646,36.0
1.0,2000-01,,0,0,34,20.0,4.123105625617661,0.0,249.0,49.250068,-123.114646,37.0
2.0,2009-10,,1,4,1,36.0,164.75739740600417,0.0,333.0,49.250068,-123.114646,38.0
2.0,2000-01,1.0,4,4,23,40.0,205.27298896834918,0.0,210.0,49.250068,-123.114646,39.0
2.0,2000-01,1.0,0,5,23,47.0,273.33678859604686,0.0,4.0,49.250068,-123.114646,40.0
3.0,2000-01,0.0,2,4,23,38.0,187.9680823969857,0.0,672.0,49.250068,-123.114646,41.0
3.0,2000-01,1.0,0,0,33,20.0,8.06225774829855,0.0,613.0,49.250068,-123.114646,42.0
3.0,2000-01,1.0,4,4,23,40.0,200.47194317410103,0.0,539.0,49.250068,-123.114646,43.0
3.0,2009-10,0.0,0,1,23,25.0,51.24451190127583,0.0,509.0,49.250068,-123.114646,44.0
3.0,2000-01,,0,0,33,22.0,22.47220505424423,0.0,269.0,49.250068,-123.114646,45.0
3.0,2000-01,1.0,0,0,33,20.0,5.656854249492381,0.0,201.0,49.250068,-123.114646,46.0
3.0,2009-10,0.0,0,0,1,33.0,134.03707203155702,0.0,175.0,49.250068,-123.114646,47.0
3.0,2000-01,1.0,0,0,4,20.0,9.055385138137416,0.0,158.0,49.250068,-123.114646,48.0
4.0,2000-01,1.0,4,4,23,37.0,170.41420128616042,0.0,295.0,49.250068,-123.114646,49.0
4.0,2000-01,,2,4,23,37.0,178.53851125177448,0.0,199.0,49.250068,-123.114646,50.0
4.0,2000-01,0.0,0,0,33,20.0,9.055385138137416,0.0,68.0,49.250068,-123.114646,51.0
4.0,2000-01,0.0,0,0,33,21.0,15.0,0.0,66.0,49.250068,-123.114646,52.0
1.0,2000-01,0.0,0,1,18,27.0,74.0,0.0,633.0,42.982923,-71.44609399999999,53.0
1.0,2009-10,0.0,2,4,23,38.0,189.04232330353963,0.0,604.0,42.982923,-71.44609399999999,54.0
1.0,2000-01,,1,5,23,48.0,284.41167345944154,0.0,298.0,42.982923,-71.44609399999999,55.0
1.0,2000-01,0.0,1,5,23,44.0,248.31633051412467,0.0,153.0,42.982923,-71.44609399999999,56.0
2.0,2000-01,1.0,0,4,31,42.0,228.00219297190984,0.0,686.0,42.982923,-71.44609399999999,57.0
2.0,2009-10,1.0,0,0,34,20.0,0.0,0.0,520.0,42.982923,-71.44609399999999,58.0
2.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,245.0,42.982923,-71.44609399999999,59.0
2.0,2009-10,,4,5,6,48.0,286.0082828572958,0.0,190.0,42.982923,-71.44609399999999,60.0
2.0,2000-01,0.0,0,1,30,31.0,112.92918134831228,0.0,122.0,42.982923,-71.44609399999999,61.0
2.0,2000-01,,0,1,33,25.0,53.71219600798314,0.0,47.0,42.982923,-71.44609399999999,62.0
3.0,2000-01,0.0,0,0,34,20.0,2.3286893159166806,0.0,572.0,42.982923,-71.44609399999999,63.0
3.0,2000-01,0.0,0,1,34,25.0,52.98575959116297,0.0,37.0,42.982923,-71.44609399999999,64.0
3.0,2000-01,1.0,5,4,39,32.0,123.7618681177688,0.0,1.0,42.982923,-71.44609399999999,65.0
4.0,2000-01,,0,1,23,29.0,91.5478017212866,0.0,613.0,42.982923,-71.44609399999999,66.0
1.0,2000-01,,2,4,23,32.0,124.32618388738553,0.0,546.0,29.740325,-95.365762,67.0
1.0,2000-01,0.0,5,6,14,43.0,237.92856070678025,0.0,497.0,29.740325,-95.365762,68.0
1.0,2000-01,1.0,0,0,34,20.0,0.0,0.0,473.0,29.740325,-95.365762,69.0
1.0,2000-01,1.0,0,0,1,20.0,2.3286893159166806,0.0,421.0,29.740325,-95.365762,70.0
1.0,2000-01,,5,4,56,39.0,193.34166648707668,0.0,315.0,29.740325,-95.365762,71.0
1.0,2000-01,,0,5,23,45.0,257.0953130650188,0.0,191.0,29.740325,-95.365762,72.0
2.0,2000-01,1.0,0,0,34,20.0,2.3286893159166806,0.0,476.0,29.740325,-95.365762,73.0
2.0,2000-01,0.0,0,4,0,27.0,76.48529270389176,0.0,160.0,29.740325,-95.365762,74.0
2.0,2000-01,0.0,4,5,1,45.0,252.96047122030743,0.0,10.0,29.740325,-95.365762,
3.0,2000-01,,1,4,30,42.0,224.18965185752887,0.0,662.0,29.740325,-95.365762,76.0
3.0,2000-01,0.0,0,1,1,25.39621719012031,59.20304046246274,0.0,550.0,29.740325,-95.365762,77.0
3.0,2000-01,0.0,2,4,30,33.0,138.40520221436765,0.0,444.0,29.740325,-95.365762,78.0
3.0,2000-01,0.0,2,1,12,28.0,82.49242389456137,0.0,1.0,29.740325,-95.365762,79.0
4.0,2000-01,,0,1,15,27.0,74.65252842335615,0.0,709.0,29.740325,-95.365762,80.0
4.0,2000-01,1.0,0,1,13,33.0,136.34148304899722,0.0,301.0,29.740325,-95.365762,81.0
4.0,2000-01,0.0,0,4,23,35.0,156.00320509528,0.0,46.0,29.740325,-95.365762,82.0
1.0,2000-01,0.0,4,5,7,44.0,248.8875247978492,0.0,701.0,29.444994,-98.52412,83.0
1.0,2000-01,0.0,0,0,4,20.0,8.94427190999916,0.0,659.0,29.444994,-98.52412,84.0
1.0,2000-01,,0,1,23,27.0,75.76938695805845,0.0,588.0,29.444994,-98.52412,85.0
1.0,2000-01,,2,4,23,33.0,133.33041663476493,0.0,446.0,29.444994,-98.52412,86.0
1.0,2000-01,,4,4,2,38.0,183.1747799234381,0.0,396.0,29.444994,-98.52412,87.0
1.0,2000-01,1.0,0,4,2,39.0,190.22355269524326,0.0,354.0,29.444994,-98.52412,88.0
1.0,2000-01,1.0,5,4,23,35.0,159.29846201391902,0.0,144.0,29.444994,-98.52412,89.0
1.0,2000-01,1.0,5,4,7,34.0,140.0,0.0,108.0,29.444994,-98.52412,90.0
1.0,2000-01,1.0,0,4,23,35.0,156.00320509528,0.0,85.0,29.444994,-98.52412,91.0
1.0,2000-01,,2,4,50,35.0,151.0529708413575,0.0,47.0,29.444994,-98.52412,92.0
2.0,2000-01,0.0,5,4,23,33.0,133.70115930686615,0.0,657.0,29.444994,-98.52412,93.0
2.0,2000-01,0.0,5,4,44,35.0,158.09174551506476,0.0,577.0,29.444994,-98.52412,94.0
2.0,2000-01,,5,4,23,33.0,134.03707203155702,0.0,265.0,29.444994,-98.52412,95.0
