power_of_shot,game_season,is_goal,area_of_shot,shot_basics,combined_shot,distance_of_shot,location,knockout_match,remaining_total,latitude,longitude
1.0,2000-01,,4,Mid Range,shot - 30,38.0,181.8598361376145,0.0,627.0,45.539131,-122.651648
1.0,2000-01,0.0,4,Mid Range,shot - 45,35.0,157.0,0.0,622.0,45.539131,-122.651648
1.0,2000-01,1.0,4,Mid Range,shot - 25,36.0,168.6001186239203,0.0,465.0,45.539131,-122.651648
1.0,2000-01,0.0,4,Mid Range,shot - 3,42.0,222.86543024883872,0.0,412.0,45.539131,-122.651648
2.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,19.0,45.539131,-122.651648
3.0,2009-10,0.0,4,Mid Range,shot - 17,34.0,145.41664278891878,0.0,572.0,45.539131,-122.651648
3.0,2000-01,1.0,0,Goal Area,shot - 4,20.0,0.0,0.0,532.0,45.539131,-122.651648
3.0,2000-01,,0,Goal Area,shot - 3,22.0,28.0178514522438,0.0,485.0,45.539131,-122.651648
3.0,2000-01,1.0,1,Goal Line,shot - 36,32.0,123.90565797650775,0.0,372.0,45.539131,-122.651648
3.0,2000-01,0.0,1,Goal Line,shot - 44,32.0,123.90565797650775,0.0,216.0,45.539131,-122.651648
3.0,2000-01,0.0,5,Penalty Spot,shot - 7,45.0,255.8906016249913,0.0,116.0,45.539131,-122.651648
1.0,2000-01,1.0,4,Mid Range,shot - 3,37.0,175.41379649275024,0.0,660.0,42.982923,-71.446094
1.0,2009-10,1.0,1,Goal Line,shot - 44,,,0.0,429.0,42.982923,-71.446094
1.0,2000-01,0.0,4,Mid Range,shot - 3,29.0,94.08506789071258,0.0,164.0,42.982923,-71.446094
1.0,2000-01,0.0,1,Goal Line,shot - 12,25.0,52.32590180780453,0.0,76.0,42.982923,-71.446094
1.0,2000-01,0.0,4,Mid Range,shot - 3,40.0,204.9569704169019,0.0,0.0,42.982923,-71.446094
1.0,2000-01,,0,Goal Area,shot - 4,20.0,0.0,0.0,1.0,42.982923,-71.446094
2.0,2000-01,1.0,4,Mid Range,shot - 6,45.0,254.48968544913564,0.0,530.0,42.982923,-71.446094
3.0,2000-01,0.0,4,Mid Range,shot - 3,36.0,164.43131419670482,0.0,689.0,42.982923,-71.446094
3.0,2009-10,,4,Mid Range,shot - 4,20.0,0.0,0.0,646.0,42.982923,-71.446094
3.0,2000-01,0.0,4,Mid Range,shot - 20,34.0,144.03124660989366,0.0,608.0,42.982923,-71.446094
3.0,2009-10,,4,Mid Range,shot - 24,38.0,184.62123388169638,0.0,544.0,42.982923,-71.446094
3.0,2000-01,1.0,1,Goal Line,shot - 44,31.0,111.157545852722,0.0,477.0,42.982923,-71.446094
3.0,2009-10,1.0,4,Mid Range,shot - 3,38.0,185.42114226808116,0.0,347.0,42.982923,-71.446094
3.0,2000-01,1.0,1,Goal Line,shot - 3,27.0,78.00640999302556,0.0,311.0,42.982923,-71.446094
3.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,156.0,42.982923,-71.446094
3.0,2000-01,0.0,4,Mid Range,shot - 30,40.0,204.9569704169019,0.0,124.0,42.982923,-71.446094
3.0,2000-01,0.0,5,Penalty Spot,shot - 54,46.0,260.93102536877444,0.0,30.0,42.982923,-71.446094
4.0,2000-01,0.0,4,Mid Range,shot - 3,39.0,192.753728887407,0.0,499.0,42.982923,-71.446094
4.0,2000-01,0.0,1,Goal Line,shot - 42,28.0,87.05170877128145,0.0,382.0,42.982923,-71.446094
4.0,2000-01,1.0,4,Mid Range,shot - 44,20.164963219842978,121.06609764917677,0.0,80.0,42.982923,-71.446094
