,power_of_shot,game_season,is_goal,area_of_shot,shot_basics,combined_shot,distance_of_shot,location,knockout_match,remaining_total,latitude,longitude,shot_id_number
1,1.0,4.0,0.0,2.0,4.0,40.0,35.0,157.0,0.0,622.0,45.539131,-122.651648,2.0
2,1.0,4.0,1.0,1.0,4.0,18.0,36.0,168.6001186239203,0.0,465.0,45.539131,-122.651648,3.0
3,1.0,4.0,0.0,4.0,4.0,23.0,42.0,222.86543024883872,0.0,412.0,45.539131,-122.651648,4.0
4,2.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,19.0,45.539131,-122.651648,5.0
5,3.0,13.0,0.0,2.0,4.0,9.0,34.0,145.41664278891878,0.0,572.0,45.539131,-122.651648,6.0
6,3.0,4.0,1.0,0.0,0.0,34.0,20.0,0.0,0.0,532.0,45.539131,-122.651648,7.0
8,3.0,4.0,1.0,2.0,1.0,30.0,32.0,123.90565797650775,0.0,372.0,45.539131,-122.651648,9.0
9,3.0,4.0,0.0,0.0,1.0,39.0,32.0,123.90565797650775,0.0,216.0,45.539131,-122.651648,10.0
10,3.0,4.0,0.0,1.0,5.0,54.0,45.0,255.8906016249913,0.0,116.0,45.539131,-122.651648,11.0
11,1.0,4.0,1.0,4.0,4.0,23.0,37.0,175.41379649275024,0.0,660.0,42.982923,-71.44609399999999,12.0
12,1.0,13.0,1.0,2.0,1.0,39.0,35.0,154.29990014165554,0.0,429.0,42.982923,-71.44609399999999,13.0
13,1.0,4.0,0.0,2.0,4.0,23.0,29.0,94.08506789071258,0.0,164.0,42.982923,-71.44609399999999,14.0
14,1.0,4.0,0.0,0.0,1.0,4.0,25.0,52.32590180780453,0.0,76.0,42.982923,-71.44609399999999,15.0
15,1.0,4.0,0.0,0.0,4.0,23.0,40.0,204.9569704169019,0.0,0.0,42.982923,-71.44609399999999,16.0
17,2.0,4.0,1.0,1.0,4.0,53.0,45.0,254.48968544913564,0.0,530.0,42.982923,-71.44609399999999,18.0
18,3.0,4.0,0.0,1.0,4.0,23.0,36.0,164.43131419670482,0.0,689.0,42.982923,-71.44609399999999,19.0
20,3.0,4.0,0.0,0.0,4.0,13.0,34.0,144.03124660989366,0.0,608.0,42.982923,-71.44609399999999,21.0
22,3.0,4.0,1.0,0.0,1.0,39.0,31.0,111.157545852722,0.0,477.0,42.982923,-71.44609399999999,23.0
23,3.0,13.0,1.0,1.0,4.0,23.0,38.0,185.42114226808116,0.0,347.0,42.982923,-71.44609399999999,24.0
24,3.0,4.0,1.0,0.0,1.0,23.0,27.0,78.00640999302556,0.0,311.0,42.982923,-71.44609399999999,25.0
25,3.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,156.0,42.982923,-71.44609399999999,26.0
26,3.0,4.0,0.0,0.0,4.0,24.0,40.0,204.9569704169019,0.0,124.0,42.982923,-71.44609399999999,27.0
27,3.0,4.0,0.0,1.0,5.0,50.0,46.0,260.93102536877444,0.0,30.0,42.982923,-71.44609399999999,28.0
28,4.0,4.0,0.0,4.0,4.0,23.0,39.0,192.753728887407,0.0,499.0,42.982923,-71.44609399999999,29.0
29,4.0,4.0,0.0,0.0,1.0,37.0,28.0,87.05170877128145,0.0,382.0,42.982923,-71.44609399999999,30.0
30,4.0,4.0,1.0,5.0,4.0,39.0,20.164963219842978,121.06609764917677,0.0,80.0,42.982923,-71.44609399999999,31.0
31,4.0,13.0,0.0,5.0,4.0,23.0,33.0,131.47243057006287,0.0,30.0,42.982923,-71.44609399999999,32.0
38,2.0,4.0,1.0,4.0,4.0,23.0,40.0,205.27298896834918,0.0,210.0,49.250068,-123.114646,39.0
39,2.0,4.0,1.0,0.0,5.0,23.0,47.0,273.33678859604686,0.0,4.0,49.250068,-123.114646,40.0
40,3.0,4.0,0.0,2.0,4.0,23.0,38.0,187.9680823969857,0.0,672.0,49.250068,-123.114646,41.0
41,3.0,4.0,1.0,0.0,0.0,33.0,20.0,8.06225774829855,0.0,613.0,49.250068,-123.114646,42.0
42,3.0,4.0,1.0,4.0,4.0,23.0,40.0,200.47194317410103,0.0,539.0,49.250068,-123.114646,43.0
43,3.0,13.0,0.0,0.0,1.0,23.0,25.0,51.24451190127583,0.0,509.0,49.250068,-123.114646,44.0
45,3.0,4.0,1.0,0.0,0.0,33.0,20.0,5.656854249492381,0.0,201.0,49.250068,-123.114646,46.0
46,3.0,13.0,0.0,0.0,0.0,1.0,33.0,134.03707203155702,0.0,175.0,49.250068,-123.114646,47.0
47,3.0,4.0,1.0,0.0,0.0,4.0,20.0,9.055385138137416,0.0,158.0,49.250068,-123.114646,48.0
48,4.0,4.0,1.0,4.0,4.0,23.0,37.0,170.41420128616042,0.0,295.0,49.250068,-123.114646,49.0
50,4.0,4.0,0.0,0.0,0.0,33.0,20.0,9.055385138137416,0.0,68.0,49.250068,-123.114646,51.0
51,4.0,4.0,0.0,0.0,0.0,33.0,21.0,15.0,0.0,66.0,49.250068,-123.114646,52.0
52,1.0,4.0,0.0,0.0,1.0,18.0,27.0,74.0,0.0,633.0,42.982923,-71.44609399999999,53.0
53,1.0,13.0,0.0,2.0,4.0,23.0,38.0,189.04232330353963,0.0,604.0,42.982923,-71.44609399999999,54.0
